24,20,21,11,21,21,19,36,18,37,36
20,21,11,21,21,19,36,18,37,36,13
21,11,21,21,19,36,18,37,36,13,28
11,21,21,19,36,18,37,36,13,28,28
21,21,19,36,18,37,36,13,28,28,14
21,19,36,18,37,36,13,28,28,14,21
19,36,18,37,36,13,28,28,14,21,29
36,18,37,36,13,28,28,14,21,29,21
18,37,36,13,28,28,14,21,29,21,37
37,36,13,28,28,14,21,29,21,37,19
36,13,28,28,14,21,29,21,37,19,27
13,28,28,14,21,29,21,37,19,27,29
28,28,14,21,29,21,37,19,27,29,23
28,14,21,29,21,37,19,27,29,23,33
14,21,29,21,37,19,27,29,23,33,16
21,29,21,37,19,27,29,23,33,16,26
29,21,37,19,27,29,23,33,16,26,17
21,37,19,27,29,23,33,16,26,17,14
37,19,27,29,23,33,16,26,17,14,11
19,27,29,23,33,16,26,17,14,11,32
27,29,23,33,16,26,17,14,11,32,21
29,23,33,16,26,17,14,11,32,21,32
23,33,16,26,17,14,11,32,21,32,23
33,16,26,17,14,11,32,21,32,23,18
16,26,17,14,11,32,21,32,23,18,21
26,17,14,11,32,21,32,23,18,21,21
17,14,11,32,21,32,23,18,21,21,23
14,11,32,21,32,23,18,21,21,23,28
11,32,21,32,23,18,21,21,23,28,21
32,21,32,23,18,21,21,23,28,21,18
21,32,23,18,21,21,23,28,21,18,22
32,23,18,21,21,23,28,21,18,22,28
23,18,21,21,23,28,21,18,22,28,32
18,21,21,23,28,21,18,22,28,32,22
21,21,23,28,21,18,22,28,32,22,19
21,23,28,21,18,22,28,32,22,19,20
23,28,21,18,22,28,32,22,19,20,16
28,21,18,22,28,32,22,19,20,16,25
21,18,22,28,32,22,19,20,16,25,15
18,22,28,32,22,19,20,16,25,15,24
22,28,32,22,19,20,16,25,15,24,11
28,32,22,19,20,16,25,15,24,11,17
32,22,19,20,16,25,15,24,11,17,17
22,19,20,16,25,15,24,11,17,17,11
19,20,16,25,15,24,11,17,17,11,25
20,16,25,15,24,11,17,17,11,25,28
16,25,15,24,11,17,17,11,25,28,21
25,15,24,11,17,17,11,25,28,21,15
15,24,11,17,17,11,25,28,21,15,22
24,11,17,17,11,25,28,21,15,22,28
11,17,17,11,25,28,21,15,22,28,19
17,17,11,25,28,21,15,22,28,19,33
17,11,25,28,21,15,22,28,19,33,16
11,25,28,21,15,22,28,19,33,16,27
25,28,21,15,22,28,19,33,16,27,21
28,21,15,22,28,19,33,16,27,21,13
21,15,22,28,19,33,16,27,21,13,23
15,22,28,19,33,16,27,21,13,23,33
22,28,19,33,16,27,21,13,23,33,28
28,19,33,16,27,21,13,23,33,28,18
19,33,16,27,21,13,23,33,28,18,16
33,16,27,21,13,23,33,28,18,16,22
16,27,21,13,23,33,28,18,16,22,16
27,21,13,23,33,28,18,16,22,16,29
21,13,23,33,28,18,16,22,16,29,22
13,23,33,28,18,16,22,16,29,22,19
23,33,28,18,16,22,16,29,22,19,28
33,28,18,16,22,16,29,22,19,28,22
28,18,16,22,16,29,22,19,28,22,25
18,16,22,16,29,22,19,28,22,25,20
16,22,16,29,22,19,28,22,25,20,30
22,16,29,22,19,28,22,25,20,30,19
16,29,22,19,28,22,25,20,30,19,28
29,22,19,28,22,25,20,30,19,28,27
22,19,28,22,25,20,30,19,28,27,14
19,28,22,25,20,30,19,28,27,14,13
28,22,25,20,30,19,28,27,14,13,16
22,25,20,30,19,28,27,14,13,16,23
25,20,30,19,28,27,14,13,16,23,20
20,30,19,28,27,14,13,16,23,20,17
30,19,28,27,14,13,16,23,20,17,30
19,28,27,14,13,16,23,20,17,30,9
28,27,14,13,16,23,20,17,30,9,22
27,14,13,16,23,20,17,30,9,22,29
14,13,16,23,20,17,30,9,22,29,20
13,16,23,20,17,30,9,22,29,20,20
16,23,20,17,30,9,22,29,20,20,27
23,20,17,30,9,22,29,20,20,27,32
20,17,30,9,22,29,20,20,27,32,19
17,30,9,22,29,20,20,27,32,19,8
30,9,22,29,20,20,27,32,19,8,10
9,22,29,20,20,27,32,19,8,10,21
22,29,20,20,27,32,19,8,10,21,32
29,20,20,27,32,19,8,10,21,32,16
20,20,27,32,19,8,10,21,32,16,27
20,27,32,19,8,10,21,32,16,27,15
27,32,19,8,10,21,32,16,27,15,27
32,19,8,10,21,32,16,27,15,27,25
19,8,10,21,32,16,27,15,27,25,26
8,10,21,32,16,27,15,27,25,26,35
10,21,32,16,27,15,27,25,26,35,21
21,32,16,27,15,27,25,26,35,21,33
32,16,27,15,27,25,26,35,21,33,23
16,27,15,27,25,26,35,21,33,23,32
27,15,27,25,26,35,21,33,23,32,30
15,27,25,26,35,21,33,23,32,30,23
27,25,26,35,21,33,23,32,30,23,25
25,26,35,21,33,23,32,30,23,25,12
26,35,21,33,23,32,30,23,25,12,18
35,21,33,23,32,30,23,25,12,18,22
21,33,23,32,30,23,25,12,18,22,33
33,23,32,30,23,25,12,18,22,33,27
23,32,30,23,25,12,18,22,33,27,28
32,30,23,25,12,18,22,33,27,28,22
30,23,25,12,18,22,33,27,28,22,32
23,25,12,18,22,33,27,28,22,32,10
25,12,18,22,33,27,28,22,32,10,13
12,18,22,33,27,28,22,32,10,13,24
18,22,33,27,28,22,32,10,13,24,23
22,33,27,28,22,32,10,13,24,23,16
33,27,28,22,32,10,13,24,23,16,22
27,28,22,32,10,13,24,23,16,22,33
28,22,32,10,13,24,23,16,22,33,30
22,32,10,13,24,23,16,22,33,30,25
32,10,13,24,23,16,22,33,30,25,19
10,13,24,23,16,22,33,30,25,19,18
13,24,23,16,22,33,30,25,19,18,8
24,23,16,22,33,30,25,19,18,8,25
23,16,22,33,30,25,19,18,8,25,15
16,22,33,30,25,19,18,8,25,15,19
22,33,30,25,19,18,8,25,15,19,24
33,30,25,19,18,8,25,15,19,24,21
30,25,19,18,8,25,15,19,24,21,29
25,19,18,8,25,15,19,24,21,29,22
19,18,8,25,15,19,24,21,29,22,22
18,8,25,15,19,24,21,29,22,22,23
8,25,15,19,24,21,29,22,22,23,29
25,15,19,24,21,29,22,22,23,29,12
15,19,24,21,29,22,22,23,29,12,21
19,24,21,29,22,22,23,29,12,21,18
24,21,29,22,22,23,29,12,21,18,32
21,29,22,22,23,29,12,21,18,32,21
29,22,22,23,29,12,21,18,32,21,30
22,22,23,29,12,21,18,32,21,30,22
22,23,29,12,21,18,32,21,30,22,26
23,29,12,21,18,32,21,30,22,26,15
29,12,21,18,32,21,30,22,26,15,26
12,21,18,32,21,30,22,26,15,26,25
21,18,32,21,30,22,26,15,26,25,25
18,32,21,30,22,26,15,26,25,25,26
32,21,30,22,26,15,26,25,25,26,35
